  R.A.         Dec.      Mag     V     SigV
201.96417   -31.47528   18.40   13727   49
201.96458   -31.94972   17.55   15152   63
201.96458   -31.54444   18.39   15438   40
201.96500   -31.24583   17.89   14151   51
201.96583   -31.69139   19.23   12281   79
201.96667   -29.61778   0.00    4376    40
201.96708   -29.25722   16.10   14021   37
201.97125   -31.49333   16.97   14804   40
201.97125   -31.44611   19.13   13939   72
201.97333   -31.54611   18.74   12519   105
201.97625   -29.61806   12.83   4281    30
201.97792   -31.53833   0.00    15570   43
201.97792   -31.44194   0.00    14048   100
201.97833   -31.53806   0.00    15507   54
201.97833   -31.13139   16.79   15445   57
201.97875   -31.53861   15.54   15481   20
201.97917   -31.59194   18.58   14802   41
201.97958   -29.54694   14.36   14384   44
201.98125   -31.59250   19.18   12181   88
201.98208   -31.47417   17.42   13584   24
201.98208   -31.43194   18.46   13975   69
201.98250   -31.48222   16.94   13859   32
201.98292   -29.28722   14.65   4571    57
201.98458   -31.48639   17.71   15463   40
201.98667   -31.49556   13.85   14061   21
201.98875   -31.65417   17.76   15212   73
201.99208   -31.68806   17.91   12851   24
201.99458   -31.49389   18.30   14110   40
201.99583   -31.48667   16.51   16586   24
201.99625   -31.48639   0.00    16770   44
202.00000   -31.74667   18.48   13682   55
202.00125   -29.39917   16.67   33561   102
202.00333   -31.64806   19.16   15089   88
202.00333   -31.30972   19.37   23166   47
202.00417   -31.74972   17.25   13449   72
202.00417   -31.80250   17.64   15003   26
202.00500   -32.07639   19.06   14454   91
202.00542   -31.74722   19.63   13433   94
202.00708   -31.28750   18.34   15091   93
202.00750   -31.59278   17.68   14925   21
202.00792   -31.71750   19.11   24022   50
202.00833   -31.78083   17.51   14692   45
202.00875   -31.76944   15.97   15590   96
202.00917   -31.75278   15.40   12930   16
202.00917   -31.52917   16.94   13124   20
202.00917   -31.27917   18.75   23071   14
202.00958   -31.57917   17.12   14972   21
202.01000   -31.72778   17.67   14072   21
202.01083   -31.75583   16.11   12857   18
202.01083   -31.53778   17.35   13902   40
202.01250   -29.38583   16.72   34437   96
202.01375   -31.76278   18.54   23681   6
202.01458   -30.68083   17.76   14996   55
202.01542   -31.50444   17.73   15371   39
202.01667   -32.76194   15.86   11585   57
202.01792   -33.69000   15.35   8091    16
202.02375   -29.42500   16.00   4049    24
202.02667   -30.58056   17.80   14362   43
202.02750   -31.69611   18.69   13050   31
202.02792   -31.75583   17.88   14329   26
202.03000   -31.55722   18.94   13708   117
202.03292   -32.14611   16.79   21712   44
202.03417   -27.77333   16.00   10109   6
202.03500   -29.26222   16.68   33462   90
202.03583   -31.56194   17.80   12861   27
202.03750   -31.68111   15.17   12200   135
202.03958   -34.04028   15.20   14426   26
202.04042   -31.82083   18.34   14351   44
202.04083   -31.57750   18.14   14017   40
202.04125   -31.56056   0.00    14591   40
202.04125   -29.64389   17.20   13759   53
202.04125   -31.58556   18.53   38755   39
202.04333   -31.38611   16.74   13163   23
202.04333   -31.34917   17.07   15690   155
202.04333   -31.58444   18.13   12591   29
202.04625   -31.48778   17.01   14772   21
202.04625   -31.53806   18.16   13062   78
202.04667   -31.57306   18.48   14306   72
202.04750   -31.42944   18.52   14342   81
202.05083   -31.72778   16.89   14701   18
202.05375   -31.44000   17.22   14678   38
202.05458   -30.24222   15.17   12776   81
202.05708   -31.33056   17.96   13257   51
202.05917   -27.95972   15.30   11048   50
202.05958   -29.30167   17.24   34338   93
202.06000   -31.54694   0.00    14518   40
202.06000   -31.56833   0.00    13459   40
202.06000   -29.22028   16.28   33912   93
202.06000   -31.53250   17.83   13304   50
202.06208   -27.97667   15.50   9688    84
202.06458   -29.48972   16.75   34047   87
202.07000   -31.47556   18.11   13275   40
202.07000   -32.20278   18.72   13134   68
202.07083   -31.56000   0.00    13169   69
202.07125   -31.56083   16.81   13080   69
202.07333   -31.60556   18.78   15122   51
202.07458   -29.19722   16.78   14356   40
202.07583   -31.80500   17.09   13480   100
202.07750   -31.53111   17.84   14271   40
202.07833   -31.51722   18.57   14510   41
202.08000   -31.56417   16.10   15102   24
202.08250   -31.62306   19.30   14883   84
202.08500   -30.93583   17.30   15885   10
202.09125   -31.26111   17.62   13263   54
202.09250   -27.56500   15.21   12950   30
202.09500   -33.94444   16.40   14645   35
202.09583   -28.30417   17.20   2053    20
202.09708   -31.75833   18.30   15135   27
202.09708   -32.11528   18.64   21934   137
202.09750   -31.52028   17.21   14198   24
202.09750   -31.17333   17.45   14116   70
202.09917   -29.32667   17.04   24500   80
202.10083   -31.67639   17.57   11979   18
202.10125   -31.24417   17.24   13234   50
202.10250   -27.57028   15.17   1837    5
202.10417   -31.85778   14.77   4389    3
202.10458   -29.40528   15.45   14099   51
202.10750   -31.50528   17.93   16125   40
202.11000   -31.46667   17.55   13660   40
202.11000   -28.78917   18.75   13366   31
202.11500   -31.80528   17.53   15219   33
202.11542   -31.66944   18.92   13258   14
202.11833   -28.18778   15.50   9622    128
202.11917   -31.53472   17.53   14045   45
202.11958   -30.64083   18.52   37888   30
202.12125   -31.47694   19.40   13974   100
202.12167   -31.13194   17.07   16130   55
202.12542   -31.78750   17.14   9971    50
202.12583   -31.51472   17.54   13493   23
202.12583   -31.77917   19.19   38525   48
202.12667   -30.78222   18.42   37905   36
202.12833   -31.54194   17.87   13039   51
202.13125   -32.83444   17.60   3612    58
202.13417   -33.99722   15.86   24960   71
202.13583   -34.20639   15.88   14661   129
202.13708   -28.60611   16.40   12815   73
202.13875   -31.47389   17.49   14313   48
202.13958   -31.64861   19.31   12823   163
202.14000   -31.43667   17.38   14460   51
202.14083   -31.44111   17.34   14522   74
202.14250   -31.43972   0.00    13744   16
202.14250   -31.48389   18.55   14732   62
202.14250   -31.69028   18.99   14357   54
202.14458   -31.74583   16.67   9920    41
202.14500   -31.44028   16.74   13514   20
202.14708   -31.44028   0.00    13535   63
202.14708   -31.44056   17.70   13535   63
202.14750   -31.88917   16.65   12405   51
202.14833   -27.82417   15.00   9001    10
202.14917   -31.51528   17.93   14003   75
202.15083   -28.19694   15.50   9286    83
202.15417   -31.56583   17.78   11902   53
202.15750   -37.57333   14.36   6173    7
202.16125   -31.34694   15.88   15625   51
202.16333   -31.66111   17.60   13314   48
202.16375   -31.61278   17.34   22770   44
202.16875   -31.65222   17.37   14961   26
202.17333   -28.39861   17.44   10792   96
202.17417   -32.27444   17.84   13779   85
202.17542   -31.17278   19.14   38969   57
202.17958   -31.64472   16.84   16165   20
202.18292   -29.08778   16.20   14650   58
202.18458   -31.23722   16.94   13047   54
202.18500   -31.22333   16.86   13464   48
202.18542   -30.56917   18.76   38859   93
202.18667   -28.03028   15.50   10550   114
202.19333   -32.16694   18.55   13710   21
202.19375   -30.95222   18.74   36656   72
202.19458   -31.50861   18.11   15932   77
202.19583   -27.65167   16.00   13602   10
202.19667   -31.69306   17.03   14097   24
202.19875   -37.43167   15.57   2498    0
202.19917   -31.50139   15.96   12420   108
202.19917   -30.35667   18.20   27081   36
202.20042   -31.09222   17.14   15908   36
202.20125   -31.66306   17.60   13690   18
202.20542   -32.15833   0.00    12441   120
202.20625   -31.57639   16.01   15660   21
202.21208   -32.13139   16.52   15073   108
202.21458   -32.07139   17.48   13479   53
202.21458   -31.59056   18.87   13886   68
202.21667   -27.64833   16.00   13576   10
202.21792   -32.16278   16.90   12441   120
202.22417   -31.82111   18.78   14577   101
202.22583   -31.48833   16.34   15940   16
202.22583   -31.94028   18.79   15473   63
202.22625   -31.91972   17.16   11937   50
202.22625   -31.21528   18.19   14638   10
202.22875   -31.71194   17.69   14162   48
202.22917   -30.49222   17.00   200 0
202.23083   -29.41194   16.72   13472   60
202.23375   -31.52222   18.40   13882   11
202.23458   -31.57417   19.16   14101   121
202.23833   -31.81944   16.36   15532   33
202.24125   -31.86000   17.28   16532   35
202.24500   -32.06444   17.65   14467   38
202.24542   -28.57833   18.31   10722   95
202.24708   -31.73778   17.94   13550   54
202.24833   -33.50694   16.00   14040   47
202.25083   -37.20611   16.60   8554    56
202.25208   -31.30278   18.03   15230   49
202.25458   -33.50639   15.67   14540   52
202.25458   -31.82917   17.51   14434   87
202.25583   -31.83000   0.00    14826   22
202.25583   -31.72722   0.00    22958   79
202.25583   -32.02806   17.32   14047   99
202.25667   -31.72722   17.68   22934   66
202.25708   -31.83028   14.39   14543   40
202.25750   -28.83944   14.20   12289   58
202.25750   -31.83222   17.07   15380   37
202.26667   -29.38972   15.54   23251   69
202.26667   -29.22528   16.50   9999    70
202.26792   -31.79806   17.18   15411   10
202.27458   -31.17611   17.95   16010   68
202.27583   -31.53556   17.80   12401   29
202.27625   -31.94389   18.97   12705   15
202.27667   -31.28694   17.70   13658   48
202.27667   -31.42750   19.21   14805   143
202.27708   -31.32167   17.90   15776   147
202.27833   -31.24833   17.51   14645   57
202.27958   -29.23389   0.00    32977   0
202.28125   -31.88056   17.68   9020    40
202.28750   -31.71750   18.99   13733   116
202.29125   -29.77861   16.10   14208   116
202.29167   -31.54694   17.24   14756   48
202.29208   -31.56667   18.07   16179   21
202.29250   -31.56361   17.42   12282   64
202.29333   -32.08972   17.36   13816   93
202.29458   -31.56417   0.00    16421   100
202.30125   -31.31111   17.25   13610   48
202.30167   -31.83444   18.74   16578   89
202.30583   -29.29028   0.00    14090   0
202.30625   -31.62639   18.26   15994   57
202.30792   -33.17389   12.00   2388    5
202.30958   -31.74583   17.17   16278   50
202.31125   -31.82611   17.86   13456   56
202.31125   -31.98861   17.92   8939    40
202.31250   -31.27917   16.63   13573   9
202.31333   -31.12917   16.83   14612   51
202.31500   -29.36528   16.36   14138   51
202.31583   -31.56917   17.86   22020   50
202.31625   -28.43528   18.13   9228    20
202.31667   -32.27722   18.95   38646   89
202.32083   -32.04278   14.74   14060   114
202.32250   -31.34972   19.52   15402   95
202.33125   -31.45417   17.79   15061   54
202.33375   -29.50444   14.95   14594   48
202.33375   -31.27750   17.52   15978   92
202.33500   -30.77722   17.63   14398   94
202.33625   -31.54056   0.00    13262   399
202.33625   -31.54028   16.24   15175   48
202.33625   -31.43528   17.78   15280   51
202.33667   -31.57917   17.65   15319   51
202.33917   -31.27167   18.04   15667   64
202.34250   -29.59861   17.03   14261   72
202.34667   -31.40028   17.11   15010   48
202.34667   -31.80889   17.86   14603   50
202.34750   -31.66444   16.75   14646   50
202.34833   -34.27139   14.21   3604    5
202.34917   -33.96222   16.60   7851    34
202.35125   -31.37750   16.83   14986   48
202.35333   -32.68278   16.00   15026   40
202.35625   -31.32889   19.64   15059   148
202.35750   -30.41306   16.10   15140   90
202.36583   -31.80889   18.44   15186   69
202.36708   -30.13500   15.05   14196   29
202.36708   -31.00694   17.89   12846   56
202.36792   -31.55111   14.03   15430   87
202.36958   -31.65722   17.24   14413   44
202.37750   -31.82083   17.78   13376   58
202.37875   -29.57583   17.10   13475   60
202.38000   -28.17444   18.17   9793    24
202.38083   -31.62472   17.80   15135   51
202.38708   -31.40833   17.50   16036   54
202.39000   -31.89083   18.37   14525   27
202.39167   -31.58528   18.18   14324   51
202.39250   -31.29361   17.66   14986   54
202.39250   -31.14472   18.15   14401   45
202.39458   -30.54556   15.90   4575    55
202.39625   -29.64944   15.76   14207   63
202.39917   -27.83389   16.00   10622   10
202.40208   -30.53750   18.08   14562   33
202.40500   -30.96583   16.15   10428   61
202.40542   -31.93278   18.99   14238   154
202.40750   -31.25444   19.38   14686   97
202.41708   -28.26583   14.44   10015   119
202.43417   -29.29778   16.64   22946   93
202.43458   -29.00556   17.67   14694   25
202.43708   -31.07750   17.81   14935   49
202.43792   -32.87278   15.96   16678   54
202.43792   -31.59472   17.51   14183   51
202.44833   -28.00639   15.50   9942    50
202.44875   -31.60667   16.00   15119   29
202.44958   -31.31306   15.63   15900   50
202.45125   -31.26611   16.56   16099   50
202.45917   -31.70583   16.86   14124   46
202.46167   -31.74167   18.26   15055   27
202.46208   -29.51472   14.35   13735   3
202.46417   -31.45778   19.05   14220   101
202.46625   -29.60028   15.80   15045   35
202.46708   -29.51306   15.62   13733   3
202.47167   -29.49194   15.47   14243   45
202.47375   -31.76944   16.94   13200   63
202.47500   -31.10639   18.07   34257   76
202.47583   -32.01667   17.22   14012   44
202.47667   -29.49389   0.00    14364   27
202.47750   -31.62222   19.36   14535   68
202.47833   -29.49694   15.32   14243   46
202.47917   -31.33222   15.64   14815   45
202.48083   -29.49167   17.01   14405   107
202.48125   -29.62417   15.49   14054   48
202.48333   -32.14194   16.36   3874    37
202.48375   -30.49278   18.45   27398   133
202.48375   -31.58639   18.61   14537   55
202.48625   -31.72417   17.80   15286   30
202.48667   -29.24194   15.83   14201   114
202.48875   -28.24083   18.15   9627    12
202.48958   -31.18556   15.13   16628   35
202.49000   -31.77139   19.33   14511   106
202.49208   -31.73611   17.67   16672   66
202.49292   -31.79583   16.98   14156   48
202.49292   -32.20722   17.83   14060   53
202.49292   -31.18472   17.92   16614   70
202.49375   -31.71417   18.32   13217   44
202.49958   -31.82694   18.84   15490   80
202.50208   -31.87472   20.10   13430   34
202.50292   -32.30917   19.46   12288   17
202.50417   -31.40778   0.00    13760   120
202.50417   -31.42583   19.30   14062   139
202.50500   -31.66028   19.46   15258   79
202.50542   -27.97472   15.12   10237   114
202.50750   -31.94694   18.10   14122   61
202.50833   -31.16194   18.02   15887   105
202.50833   -32.25556   18.12   14936   68
202.51083   -29.43528   15.44   14120   51
202.51167   -31.94028   18.47   14855   70
202.51333   -31.32444   19.48   16661   81
202.51625   -31.09472   17.72   13726   28
202.51667   -32.03611   15.76   4537    38
202.52167   -31.23139   17.53   15943   10
202.52292   -31.41028   16.12   13780   10
202.52292   -31.60194   18.12   15067   20
202.52500   -34.35278   15.66   21441   89
202.52583   -29.68139   16.38   34641   75
202.52750   -29.55056   16.35   14156   48
202.52875   -31.63694   18.49   15256   27
202.52958   -31.81556   19.25   14452   81
202.53292   -32.80778   0.00    15840   90
202.53333   -32.37778   17.27   14618   59
202.53333   -28.62167   18.76   34699   82
202.53417   -31.70333   16.92   13221   15
202.53500   -29.42333   16.50   13634   54
202.54375   -31.53750   19.51   14915   80
202.54917   -31.42278   17.98   15783   55
202.55042   -29.50167   15.23   14488   30
202.55292   -32.80611   14.33   15666   78
202.55292   -32.12306   17.93   14027   47
202.55375   -29.39333   15.34   14702   48
202.55667   -31.60889   18.32   15563   27
202.55792   -29.20528   17.03   23402   72
202.55833   -31.51639   18.42   15574   67
202.56458   -32.06639   17.96   13835   59
202.56667   -30.60472   17.03   15319   29
202.56792   -31.49056   17.88   15019   51
202.57083   -31.69972   19.30   14390   54
202.57208   -31.53639   18.77   15232   67
202.57375   -27.92833   14.93   3498    10
202.57500   -29.60833   15.38   13835   45
202.57917   -32.03194   17.82   12927   74
202.58083   -31.42556   18.26   15425   10
202.58167   -28.08500   17.45   10205   39
202.58250   -29.62333   16.30   13811   60
202.58542   -32.09694   16.71   12770   64
202.58792   -31.92806   16.84   14206   24
202.59042   -31.89750   17.73   15521   33
202.59500   -29.25139   15.85   13236   78
202.59500   -31.84417   18.31   14691   157
202.59500   -31.47333   18.76   13837   33
202.59625   -28.27000   0.00    10486   30
202.59625   -28.27056   15.55   10494   30
202.59958   -28.39944   15.50   9593    108
202.60250   -31.77333   18.21   12772   30
202.60333   -30.69361   16.39   14491   68
202.60458   -29.62111   17.12   14327   40
202.60583   -34.67472   16.29   21510   58
202.60625   -29.60806   16.64   14375   63
202.62000   -31.62833   18.27   15172   26
202.62083   -31.61417   17.74   13829   20
202.62125   -32.01333   18.67   12884   129
202.62250   -32.23139   19.35   4043    351
202.62500   -31.35167   17.79   13256   48
202.62583   -34.62111   15.95   21467   84
202.62958   -31.66944   18.16   13052   21
202.63083   -29.58361   16.70   13646   51
202.63083   -30.32500   18.01   37319   61
202.63250   -28.14000   18.36   14195   27
202.63417   -31.77083   18.96   37795   136
202.63583   -29.36917   16.96   22247   72
202.63625   -31.57639   15.44   14478   18
202.63667   -33.06444   16.00   13949   66
202.63917   -31.35333   19.50   16823   101
202.63958   -31.73750   19.27   15266   60
202.64083   -31.63667   19.30   13305   103
202.64208   -31.52833   17.29   15299   23
202.64417   -31.27306   17.71   14614   48
202.64458   -32.26417   15.74   4039    18
202.64750   -29.27333   14.73   10813   40
202.65208   -32.31000   16.91   13040   49
202.65375   -31.58639   17.64   13868   24
202.66125   -32.05778   17.56   13100   51
202.66125   -31.54639   17.95   14095   70
202.66833   -31.77000   17.53   15458   20
202.66875   -31.67222   16.15   13469   15
202.66875   -31.70917   18.71   15489   60
202.66958   -32.09306   17.26   12961   89
202.67000   -31.86528   15.96   14470   75
202.67125   -28.15028   13.21   4370    5
202.67208   -31.57111   17.24   15524   69
202.67333   -31.57222   15.80   15323   24
202.67333   -31.66806   19.34   12997   67
202.67500   -31.57250   14.03   15496   66
202.67500   -31.57500   17.45   15215   42
202.67750   -31.06889   17.30   15795   90
202.67958   -29.29000   16.76   14459   45
202.68458   -29.41250   16.82   12837   78
202.68667   -31.85750   17.09   15252   27
202.69292   -31.69028   16.35   13493   9
202.69417   -31.81750   18.48   13484   54
202.69708   -31.72750   17.03   13394   29
202.69833   -31.85194   16.76   14636   23
202.69833   -32.04333   17.36   13435   53
202.70083   -29.65861   14.80   14307   44
202.70375   -31.72306   16.85   13226   33
202.70417   -31.30972   19.40   22919   19
202.70583   -29.59278   16.31   21702   78
202.71250   -31.73833   16.62   13815   21
202.71458   -31.82000   18.44   14451   27
202.71500   -32.19556   18.93   12958   154
202.71708   -32.14889   16.83   12896   54
202.71708   -31.76861   17.85   13832   10
202.71917   -31.93361   17.51   13850   18
202.71917   -31.45361   17.66   14612   39
202.72083   -31.60944   17.49   15097   51
202.72125   -31.80806   18.94   12434   47
202.72167   -31.79472   17.95   14128   48
202.72167   -28.23500   18.53   9055    86
202.72208   -29.44722   16.31   13071   51
202.72208   -31.79056   18.16   14426   30
202.72375   -31.50611   16.96   14409   24
202.72833   -31.26528   16.95   15225   56
202.72833   -31.57306   17.24   15209   35
202.72958   -31.85861   18.59   14766   59
202.73333   -29.01444   18.15   2173    10
202.73417   -31.56222   17.99   14348   12
202.73458   -28.08222   17.72   5650    189
202.73500   -31.61083   17.90   15389   27
202.73833   -29.50750   16.43   29748   90
202.74042   -31.82250   17.16   15658   20
202.74583   -31.47528   16.67   10734   59
202.74750   -28.04056   15.10   10307   55
202.75292   -31.74861   17.11   11976   10
202.75458   -29.53139   15.96   13284   51
202.75583   -32.62167   15.68   15986   64
202.75792   -31.73000   16.70   13168   35
202.75792   -31.67694   18.08   13180   47
202.75917   -31.38472   17.79   15358   54
202.76375   -36.16083   15.60   7190    28
202.76542   -31.76611   16.87   15310   27
202.77167   -31.46556   18.68   14767   57
202.77375   -30.94278   17.47   15781   34
202.77542   -31.28278   17.59   3958    19
202.77875   -31.76333   18.00   13195   41
202.78625   -31.77722   16.91   13623   30
202.78667   -30.67917   17.94   26782   35
202.78708   -29.52889   16.10   13856   48
202.78708   -33.21611   16.74   15589   600
202.78750   -31.62167   17.86   13812   47
202.78833   -31.74972   19.05   13670   40
202.79000   -32.73694   15.73   3468    95
202.79458   -31.72111   17.98   14662   10
202.79542   -31.59889   19.13   11417   155
202.79542   -31.79000   19.51   15467   77
202.79958   -31.81889   17.97   12445   53
202.80708   -30.99611   16.50   14665   121
202.80708   -31.76750   18.08   14777   39
202.80750   -31.21722   17.08   14226   24
202.80750   -31.27444   17.38   13105   49
202.80792   -29.45222   17.00   13586   72
202.80833   -31.80250   17.27   14968   29
202.81167   -30.03528   16.60   13034   55
202.81333   -31.62306   16.67   14173   48
202.81417   -31.19806   17.05   15544   54
202.81583   -31.72167   17.36   13137   29
202.81625   -28.88139   17.62   13940   150
202.81667   -31.86389   18.95   14680   75
202.81750   -31.83361   19.60   13309   45
202.81833   -31.77694   17.27   13653   35
202.81875   -29.95722   15.60   4111    81
202.82042   -31.59389   17.13   14578   48
202.82208   -31.40972   17.77   13763   51
202.82292   -33.39889   15.70   3694    70
202.82500   -31.86639   17.12   14794   48
202.82792   -31.49694   18.37   15988   48
202.82833   -29.78611   15.40   14230   60
202.82875   -29.34833   15.60   14138   48
202.83000   -31.02889   18.89   39256   171
202.83125   -31.22889   15.98   15710   51
202.83167   -31.82556   18.81   12109   12
202.83208   -32.06806   16.50   12956   23
202.83292   -35.08833   14.63   10988   10
202.83375   -32.74056   0.00    16458   120
202.83417   -31.74278   17.20   13333   37
202.83667   -31.78917   18.53   13364   56
202.83750   -31.34611   17.68   14066   54
202.83792   -30.76528   17.69   22825   31
202.84167   -30.48028   17.92   14506   28
202.84292   -31.94056   18.11   13013   54
202.84458   -31.36944   18.18   14027   25
202.84542   -31.10528   19.08   14483   101
202.84667   -31.71111   18.81   12255   41
202.84750   -33.89778   15.58   22089   90
202.85000   -32.74306   16.20   16459   120
202.85000   -31.60917   19.06   13633   72
202.85042   -31.82722   19.34   13103   49
202.85250   -31.46944   17.40   14218   51
202.85625   -31.85722   0.00    13007   100
202.85708   -30.42917   15.80   14637   50
202.86083   -33.45500   16.60   14474   44
202.86417   -34.79056   0.00    2326    13
202.86417   -31.82056   15.27   12928   54
202.86542   -31.81917   15.50   13067   31
202.86667   -31.80306   20.26   14171   14
202.86708   -31.81972   16.43   13136   54
202.86792   -34.79444   12.96   2425    6
202.86792   -31.88028   19.32   38423   17
202.87125   -31.60111   18.60   15317   38
202.87292   -31.83083   19.22   11550   110
202.87417   -28.89333   15.16   12956   29
202.87583   -30.91722   17.00   13975   119
202.87833   -31.68556   17.54   15075   27
202.87875   -31.51528   18.52   14117   50
202.88000   -32.93667   15.48   15479   40
202.88542   -30.92000   18.19   14183   34
202.88750   -31.60611   17.56   14270   32
202.88875   -31.94333   17.46   13444   10
202.88917   -31.81278   16.76   13182   32
202.89333   -31.70889   18.14   13187   39
202.89625   -33.01083   0.00    13697   57
202.89708   -32.98139   15.90   3579    31
202.89833   -31.81833   20.81   14060   0
202.89875   -30.17000   16.30   12199   55
202.90208   -28.29472   15.70   9688    50
202.90208   -29.26250   16.30   14845   44
202.90583   -31.55139   17.34   14194   24
202.90792   -30.51750   17.75   15003   102
202.91167   -34.37056   15.49   13798   40
202.91583   -33.24278   14.43   16554   40
202.91625   -31.85528   19.40   13468   79
202.91792   -31.76306   17.02   13133   54
202.92708   -31.29944   18.54   14056   21
202.93125   -33.38028   15.07   7759    21
202.93167   -33.19611   15.84   15449   35
202.93417   -29.80472   15.60   12683   65
202.94292   -32.89472   0.00    14780   48
202.94458   -32.89444   14.10   14780   46
202.94667   -36.04583   15.83   7159    42
202.94875   -31.42722   17.80   14214   61
202.95083   -31.78278   19.11   13877   70
202.95583   -33.23806   13.97   3519    21
202.95833   -30.22000   16.50   13970   108
202.96125   -31.81139   16.50   13442   32
202.96375   -29.73250   14.20   4321    13
202.96417   -29.73389   0.00    4335    33
202.96417   -36.95556   15.35   14996   97
202.96417   -31.60528   18.56   15149   78
202.96458   -33.19500   15.35   14852   40
202.96458   -31.92056   15.39   4505    31
202.96875   -33.23556   0.00    3522    50
202.97083   -31.72944   19.49   13179   65
202.97292   -33.23444   12.48   3711    3
202.97417   -31.76889   17.69   14737   59
202.97792   -31.77222   16.20   14829   29
202.97833   -31.90111   17.39   13043   30
202.98167   -31.02861   17.93   15235   55
202.98333   -31.23861   17.51   13717   55
202.98458   -31.14806   18.94   15316   10
202.99750   -30.71611   18.31   15176   102
202.99875   -29.84472   15.80   14312   71
202.99917   -34.04222   15.45   14246   49
203.00042   -31.82306   15.72   12963   41
203.00042   -36.04944   16.50   7642    107
203.00042   -36.04944   16.50   7642    107
203.00083   -36.30972   15.33   20282   59
203.00292   -32.77833   16.60   14682   115
203.00917   -31.69833   16.96   10732   10
203.01375   -31.77889   15.31   13107   24
203.01500   -32.88250   15.27   14033   28
203.02000   -31.61306   17.40   14641   33
203.02250   -33.78944   14.93   8770    66
203.02292   -31.87472   16.74   13231   9
203.02583   -28.15694   15.30   9215    10
203.02917   -33.31750   15.08   13640   98
203.03375   -33.01028   14.65   14807   38
203.03625   -29.68250   16.10   4520    81
203.03833   -31.05750   17.02   15729   72
203.04000   -33.31583   15.46   7539    58
203.04042   -31.91611   18.18   13649   90
203.04208   -32.93361   15.90   14214   106
203.04292   -32.93139   0.00    14698   44
203.04375   -32.92972   15.09   14801   49
203.04667   -31.58306   17.82   14229   39
203.04875   -31.03917   17.61   13425   57
203.05083   -31.63528   18.50   13247   24
203.05375   -33.12750   15.54   14541   30
203.05792   -32.83194   18.00   14017   24
203.05917   -32.83306   18.00   14366   25
203.06000   -31.38278   16.91   14755   214
203.06333   -33.37778   14.71   15243   81
203.07458   -33.14444   16.64   13502   51
203.08000   -32.92028   15.20   15703   29
203.08000   -32.92028   15.20   15703   29
203.08000   -29.74528   16.30   10860   57
203.08417   -33.15250   15.19   14868   26
203.09250   -28.62083   18.43   13791   32
203.09250   -31.73861   19.13   12340   38
203.09875   -33.14028   15.50   14390   0
203.10000   -33.23861   14.95   13916   47
203.10542   -33.13778   16.50   14734   32
203.10708   -33.13611   15.60   14691   17
203.10750   -31.33806   19.09   14919   74
203.11333   -37.51333   14.96   15295   29
203.11500   -28.13167   16.10   3924    72
203.11750   -31.42722   18.68   27119   205
203.11875   -31.06389   17.09   13852   59
203.12042   -31.61444   17.56   15133   45
203.12208   -31.10528   18.86   30796   110
203.12250   -33.25111   14.93   14592   51
203.12542   -31.05444   17.83   13772   91
203.12833   -31.03556   19.09   13334   21
203.13042   -33.16167   15.87   14770   96
203.13750   -31.70417   17.53   15196   45
203.14000   -33.15444   16.60   12516   26
203.14292   -37.29333   15.58   15687   101
203.14458   -31.84833   17.05   15511   57
203.14667   -31.52944   17.30   15193   34
203.15333   -33.11500   15.09   15410   29
203.15583   -31.74000   18.38   15444   63
203.15625   -33.11444   0.00    15309   25
203.15958   -31.02806   17.94   13189   7
203.16083   -37.12583   16.40   11982   39
203.16375   -31.83139   16.97   12998   48
203.16458   -31.81000   18.26   14421   116
203.17167   -35.15417   15.23   15122   39
203.17875   -31.92056   17.28   14483   40
203.18333   -31.78389   17.21   12984   34
203.18333   -31.81000   18.79   14303   156
203.18792   -33.23944   15.33   14222   32
203.19042   -31.81972   17.69   13985   48
203.19375   -31.61750   16.57   12315   8
203.19458   -31.96667   15.47   11106   31
203.19625   -35.21667   16.50   7277    77
203.20333   -29.01778   15.57   5526    93
203.21125   -33.03528   15.01   13410   26
203.21125   -33.03528   15.01   13410   26
203.21125   -32.47639   17.26   13337   59
203.21125   -32.47639   17.26   13337   59
203.21167   -33.03278   0.00    13418   23
203.21333   -33.02889   15.89   13451   51
203.21583   -31.57778   18.54   15674   99
203.21750   -34.71833   15.47   36879   77
203.21792   -28.63167   17.24   34811   29
203.21792   -31.34194   18.62   16546   67
203.22958   -33.17028   15.19   15698   50
203.23042   -29.91944   15.70   300 899
203.24375   -33.11500   15.66   15127   30
203.25333   -30.88556   16.86   10561   98
203.25417   -31.22472   17.77   10981   10
203.25625   -33.10028   14.62   14951   53
203.26333   -34.29861   15.08   14435   37
203.26542   -33.21528   17.00   13732   40
203.26708   -31.65111   18.04   14120   13
203.27375   -33.30111   15.65   14838   115
203.27917   -34.44972   14.84   7491    16
203.27917   -37.49972   15.79   15164   67
203.28500   -31.49417   18.35   14256   133
203.29000   -31.60333   15.96   14559   123
203.29167   -30.34056   17.90   24342   23
203.29875   -31.66917   16.96   14377   48
203.30083   -31.70361   17.72   13979   45
203.30250   -36.40694   14.77   11095   87
203.30500   -30.62722   18.38   33162   66
203.30542   -31.57028   17.62   13571   45
203.31875   -31.72833   19.00   22007   53
203.31958   -34.46694   16.22   3471    10
203.32000   -31.43000   19.12   13757   59
203.32167   -31.49250   16.74   14443   51
203.33625   -31.64167   17.44   10888   72
203.33667   -31.65722   0.00    13680   50
203.34000   -33.08250   15.33   14490   33
